clear(a:block) clear(e:block) clear(f:block) handfull(robot:robot) holding(d:block) on(a:block,b:block) on(b:block,c:block) ontable(c:block) ontable(e:block) ontable(f:block) ;putdown(d:block)
clear(a:block) clear(d:block) clear(e:block) clear(f:block) handempty(robot:robot) on(a:block,b:block) on(b:block,c:block) ontable(c:block) ontable(d:block) ontable(e:block) ontable(f:block) ;pickup(e:block)
clear(a:block) clear(d:block) clear(f:block) handfull(robot:robot) holding(e:block) on(a:block,b:block) on(b:block,c:block) ontable(c:block) ontable(d:block) ontable(f:block) ;stack(e:block,f:block)
clear(a:block) clear(d:block) clear(e:block) handempty(robot:robot) on(a:block,b:block) on(b:block,c:block) on(e:block,f:block) ontable(c:block) ontable(d:block) ontable(f:block) ;pickup(d:block)
clear(a:block) clear(e:block) handfull(robot:robot) holding(d:block) on(a:block,b:block) on(b:block,c:block) on(e:block,f:block) ontable(c:block) ontable(f:block) ;stack(d:block,e:block)
clear(a:block) clear(d:block) handempty(robot:robot) on(a:block,b:block) on(b:block,c:block) on(d:block,e:block) on(e:block,f:block) ontable(c:block) ontable(f:block) ;unstack(a:block)
clear(b:block) clear(d:block) handfull(robot:robot) holding(a:block) on(b:block,c:block) on(d:block,e:block) on(e:block,f:block) ontable(c:block) ontable(f:block) ;putdown(a:block)
clear(a:block) clear(b:block) clear(d:block) handempty(robot:robot) on(b:block,c:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(c:block) ontable(f:block) ;unstack(b:block)
clear(a:block) clear(c:block) clear(d:block) handfull(robot:robot) holding(b:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(c:block) ontable(f:block) ;putdown(b:block)
clear(a:block) clear(b:block) clear(c:block) clear(d:block) handempty(robot:robot) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(c:block) ontable(f:block) ;pickup(c:block)
clear(a:block) clear(b:block) clear(d:block) handfull(robot:robot) holding(c:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(f:block) ;stack(c:block,d:block)
clear(a:block) clear(b:block) clear(c:block) handempty(robot:robot) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(f:block) ;pickup(a:block)
clear(b:block) clear(c:block) handfull(robot:robot) holding(a:block) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(b:block) ontable(f:block) ;stack(a:block,c:block)
clear(a:block) clear(b:block) handempty(robot:robot) on(a:block,c:block) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(b:block) ontable(f:block) ;pickup(b:block)
clear(a:block) handfull(robot:robot) holding(b:block) on(a:block,c:block) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(f:block) ;stack(b:block,a:block)
