clear(d1:default) clear(d2:default) clear(peg1:default) on(d1:default,peg3:default) on(d2:default,d3:default) on(d3:default,peg2:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d2:default,peg1:default)
clear(d1:default) clear(d2:default) clear(d3:default) on(d1:default,peg3:default) on(d2:default,peg1:default) on(d3:default,peg2:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d1:default,d2:default)
clear(d1:default) clear(d3:default) clear(peg3:default) on(d1:default,d2:default) on(d2:default,peg1:default) on(d3:default,peg2:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d3:default,peg3:default)
clear(d1:default) clear(d3:default) clear(peg2:default) on(d1:default,d2:default) on(d2:default,peg1:default) on(d3:default,peg3:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d1:default,peg2:default)
clear(d1:default) clear(d2:default) clear(d3:default) on(d1:default,peg2:default) on(d2:default,peg1:default) on(d3:default,peg3:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d1:default,d2:default)
clear(d1:default) clear(d3:default) clear(peg2:default) on(d1:default,d2:default) on(d2:default,peg1:default) on(d3:default,peg3:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d3:default,peg2:default)
clear(d1:default) clear(d3:default) clear(peg3:default) on(d1:default,d2:default) on(d2:default,peg1:default) on(d3:default,peg2:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d3:default,peg3:default)
clear(d1:default) clear(d3:default) clear(peg2:default) on(d1:default,d2:default) on(d2:default,peg1:default) on(d3:default,peg3:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d1:default,peg2:default)
clear(d1:default) clear(d2:default) clear(d3:default) on(d1:default,peg2:default) on(d2:default,peg1:default) on(d3:default,peg3:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d2:default,d3:default)
clear(d1:default) clear(d2:default) clear(peg1:default) on(d1:default,peg2:default) on(d2:default,d3:default) on(d3:default,peg3:default) smaller(d2:default,d1:default) smaller(d3:default,d1:default) smaller(d3:default,d2:default) smaller(peg1:default,d1:default) smaller(peg1:default,d2:default) smaller(peg1:default,d3:default) smaller(peg2:default,d1:default) smaller(peg2:default,d2:default) smaller(peg2:default,d3:default) smaller(peg3:default,d1:default) smaller(peg3:default,d2:default) smaller(peg3:default,d3:default) ;move(d1:default,d2:default)
