clear(a:block) clear(b:block) clear(c:block) clear(d:block) clear(e:block) clear(f:block) handempty(robot:robot) ontable(a:block) ontable(b:block) ontable(c:block) ontable(d:block) ontable(e:block) ontable(f:block) ;pickup(e:block)
clear(a:block) clear(b:block) clear(c:block) clear(d:block) clear(f:block) handfull(robot:robot) holding(e:block) ontable(a:block) ontable(b:block) ontable(c:block) ontable(d:block) ontable(f:block) ;stack(e:block,f:block)
clear(a:block) clear(b:block) clear(c:block) clear(d:block) clear(e:block) handempty(robot:robot) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(c:block) ontable(d:block) ontable(f:block) ;pickup(d:block)
clear(a:block) clear(b:block) clear(c:block) clear(e:block) handfull(robot:robot) holding(d:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(c:block) ontable(f:block) ;stack(d:block,e:block)
clear(a:block) clear(b:block) clear(c:block) clear(d:block) handempty(robot:robot) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(c:block) ontable(f:block) ;pickup(c:block)
clear(a:block) clear(b:block) clear(d:block) handfull(robot:robot) holding(c:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(f:block) ;stack(c:block,d:block)
clear(a:block) clear(b:block) clear(c:block) handempty(robot:robot) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(f:block) ;pickup(b:block)
clear(a:block) clear(c:block) handfull(robot:robot) holding(b:block) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(f:block) ;putdown(b:block)
clear(a:block) clear(b:block) clear(c:block) handempty(robot:robot) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(f:block) ;unstack(c:block)
clear(a:block) clear(b:block) clear(d:block) handfull(robot:robot) holding(c:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(f:block) ;stack(c:block,d:block)
clear(a:block) clear(b:block) clear(c:block) handempty(robot:robot) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(b:block) ontable(f:block) ;pickup(b:block)
clear(a:block) clear(c:block) handfull(robot:robot) holding(b:block) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(f:block) ;stack(b:block,c:block)
clear(a:block) clear(b:block) handempty(robot:robot) on(b:block,c:block) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(a:block) ontable(f:block) ;pickup(a:block)
clear(b:block) handfull(robot:robot) holding(a:block) on(b:block,c:block) on(c:block,d:block) on(d:block,e:block) on(e:block,f:block) ontable(f:block) ;stack(a:block,b:block)
